source,target,source_id,target_id,weight
Node 0,Broadway / John St / Lexington Avenue Line,0,1,226.57936108350393
8 Avenue Line / Church St / Murray St,Node 3,2,3,240.41063820095917
Beekman St / Clark Street Line / Park Row [4],Beekman St / Clark Street Line / Theater Aly,4,5,169.23912188182686
8 Avenue Line / Dutch St / Fulton St,8 Avenue Line / Fulton St / Nassau St,6,7,229.96422783914167
Ann St / Clark Street Line / William St,Ann St & Gold St,8,9,315.87708275191835
Park Row (midblock) [10],Brooklyn Brg / Park Row / Spruce St,10,11,31.51922395823231
2000 Cb Boundary & Brooklyn Bridge Exit Ramp [12],2000 Cb Boundary & Brooklyn Bridge Exit Ramp [13],12,13,19.675453683745104
2000 Cb Boundary & Brooklyn Bridge Exit Ramp [13],Node 14,13,14,27.208084410447505
Node 14,Node 15,14,15,18.497890492188834
Node 15,Node 16,15,16,18.53668731275665
Node 16,2000 Cb Boundary & Brooklyn Bridge Exit Ramp [17],16,17,18.837515910739874
2000 Cb Boundary & Brooklyn Bridge Exit Ramp [17],2000 Cb Boundary & Brooklyn Bridge Exit Ramp [18],17,18,16.17881605408673
2000 Cb Boundary & Brooklyn Bridge Exit Ramp [18],2000 Cb Boundary & Brooklyn Bridge Exit Ramp [19],18,19,12.074730210309388
Brooklyn Bridge Exit Ramp (midblock) [20],Brooklyn Bridge Exit Ramp (midblock) [21],20,21,4.966172760981902
Brooklyn Bridge Exit Ramp (midblock) [21],Brooklyn Bridge Exit Ramp (midblock) [22],21,22,4.9661727456189855
Brooklyn Bridge Exit Ramp (midblock) [22],Brooklyn Bridge Exit Ramp (midblock) [23],22,23,4.966172761408864
Brooklyn Bridge Exit Ramp (midblock) [23],Brooklyn Bridge Exit Ramp (midblock) [24],23,24,4.966172735192956
Brooklyn Bridge Exit Ramp (midblock) [24],Brooklyn Bridge Exit Ramp (midblock) [25],24,25,4.9661727466959995
Brooklyn Bridge Exit Ramp (midblock) [25],Brooklyn Bridge Exit Ramp (midblock) [26],25,26,4.966172761600288
Brooklyn Bridge Exit Ramp (midblock) [26],Brooklyn Bridge Exit Ramp (midblock) [27],26,27,4.966172735162672
Brooklyn Bridge Exit Ramp (midblock) [27],Brooklyn Bridge Exit Ramp (midblock) [28],27,28,4.9661727541730665
Brooklyn Bridge Exit Ramp (midblock) [28],Node 29,28,29,4.966172736700003
Node 29,Node 30,29,30,4.966172762392312
Node 30,Node 31,30,31,4.966172752755401
Node 31,Node 32,31,32,4.96617273259388
Node 32,Node 33,32,33,4.966172748651599
Node 33,2000 Cb Boundary / Brooklyn Bridge Exit Ramp / Fdr Drive Nb En Brooklyn Br,33,34,48.41264382050051
Brooklyn Bridge Entrance Ramp & Frankfort St [35],Brooklyn Bridge Entrance Ramp & Gold St [36],35,36,41.52510371489906
2 Avenue Line / Dover St / Fdr Drive Exit 2 Nb,2 Avenue Line / Brooklyn Bridge En Rp Fdr Dr / Pearl St,37,38,17.956040508230178
2000 Cb Boundary / Brooklyn Brg / Brooklyn Bridge Pedestrian Path [39],Brooklyn Brg & Rose St,39,40,22.24655302433993
